AT,RH,WS,WD,RF,PM10,NO,NOx,SO2,NO2,PM 2.5
30.56,0.52,2.11,91.96,0,187.59,2.44,14.68,15.56,23.86,48.01
31.66,0.52,1.81,95.42,0,176.14,24.65,35.78,12.84,29.48,40.16
25.66,0.51,2.81,208.33,0,155.65,4.05,16.02,10.27,23.92,46.44
23.52,0.5,2.58,272.19,0,76.97,2.53,16,10.29,26.2,27.36
24.28,14.6,1.39,120.98,0,94.31,2.58,15.67,12.29,25.49,41.83
26.29,0.51,1.26,113.51,0,143.26,13.46,30.56,15.08,36.81,63.38
27.91,0.52,0.89,143.91,0,206.58,32.06,54.68,41.15,53.67,99.26
29.44,0.53,1.09,102.98,0,242.01,40.78,59.38,15.23,49.13,102.18
30.56,5.57,1.14,108.23,0,240.08,16.79,36.52,20.1,42.94,103.8
32.9,0.53,1.34,244.98,0,286.67,45.29,65.15,19.58,53.06,102.77
35.24,0.52,1.55,221.37,0,275.86,1.65,21.02,17.67,36.99,87.04
33.74,0.51,1.97,223.66,0,274,2.05,17.58,17.04,29.91,81.46
32.45,0.52,1.57,85.39,0,227.67,3.4,18.82,16.29,30.16,80.42
33.61,0.56,2.49,80.75,0,306.83,2.71,15.96,15.15,25.87,56.08
33.25,0.55,2.12,77.72,0,304.67,4.1,19.59,15.68,30.57,62
33.09,0.57,1.38,109.29,0,265.54,22.18,38.39,17.64,38.14,66.96
35.57,0.51,1.85,240.92,0,315.5,19.1,39.62,22.93,45.22,86.42
33.52,0.52,1.22,140.89,0,330.74,11.83,31.38,24.48,40.87,103.29
32.45,0.51,2.69,173.85,0,319.27,4.21,15.37,14.2,22.45,66.92
30.65,0.51,1.77,174.38,0,141.75,3.51,18.88,12.43,30.1,49
29.62,0.53,1.75,128.13,0,205.6,20.75,38.55,16.86,40.66,83.62
34.52,0.55,2.07,132.64,0,202.08,24.48,41.33,10.85,40.17,60.36
31.7,0.53,1.61,114.75,0,297.38,82.35,96.06,15.96,54.39,137.35
31.87,0.54,1.22,156.6,0,370.56,100.63,111.51,14.04,55.4,126.73
33.24,0.54,1.62,82.7,0,391.57,57.58,72.4,16.32,47.86,138.08
34.4,0.54,1.77,97.86,0,348.25,30.28,51.3,17.97,50.03,124.2
35.18,0.54,1.85,91.53,0,316.52,5.87,20.92,13.13,30.26,87.55
32.32,0.56,1.63,89.51,0,275.96,4.58,19.37,16.24,29.41,101.29
31.49,0.56,1.87,100.78,0,315.66,8.18,24.75,12.39,33.99,165.81
31.27,0.54,1.88,120.08,0,276.9,4.02,20.17,24.38,31.76,141.71
29.43,0.54,1.28,114.19,0,118.33,3.91,16.75,11.57,25.49,58.08
28.56,10.1,1.43,195.28,0.18,212.83,23.19,43.41,22.2,46.07,100.54
28.76,4.99,1.73,159.46,0,203.17,24.19,40.67,11.46,39.38,79.38
27.6,6.61,1.75,169.77,0.12,220.46,36.36,48.53,9.72,35.5,91.31
27.3,24.45,1.65,81.47,0.01,70.21,2.11,15.24,8.57,25.42,35.38
30.9,0.52,1.44,62.49,0,135.04,4.79,23.82,15.65,37.43,99.9
32.26,0.53,1.34,106.9,0,202.22,23.42,42.58,15.66,44.15,46.94
33.73,0.55,1.4,99.3,0,184.33,15.57,34.83,15.91,41.6,80.12
32.46,0.51,1.07,165.04,0,194.46,38.96,58.18,14.27,49.66,66.58
31.38,1.46,1.2,179.81,0.05,245.43,55.25,69.46,17.91,45.89,114.46
28.28,17.8,2.52,115.79,0.01,107.67,7.05,20.81,10.27,28.32,38.33
31.32,0.55,2.17,68.65,0,105.06,1.86,12.37,9.97,20.38,34.6
32.14,0.55,1.77,74.14,0,120.32,1.79,13.96,13.62,23.5,45.12
33.64,0.55,1.52,121.82,0,167.7,12.06,30.56,14.79,38.97,64.18
34.1,0.55,1.55,82.65,0,170.79,14.18,35.88,13.88,45.7,54.24
34.87,0.54,1.21,97.89,0,184.57,18.38,37.97,19.58,43.22,63.2
35.8,0.53,1.2,158.74,0,237.08,62.61,76.5,16.73,47.87,74.62
36.52,0.51,1.24,146.53,0,332.79,32.03,49.29,16.8,43.58,71.46
35.85,0.5,1.22,218.37,0,330.33,51.05,65.42,24.34,44.73,103.92
36.63,0.5,1.65,225.7,0,233.33,1.27,13.46,16.91,23.34,70.14
35.06,0.5,2.14,243.94,0,314.67,1.36,14.29,16.77,24.78,55.62
35.17,0.51,1.79,229.46,0,208.67,1.43,14.96,17.51,25.92,71.67
36.89,0.51,1.36,229.79,0,241.33,7.61,25.74,19.52,36.72,75.44
36.04,0.51,1.65,201.58,0,223.47,7.74,25.16,16.41,35.44,62.84
33.56,0.51,1.86,206.11,0,175.84,2.3,16.39,15.42,27.28,57.71
34.13,0.51,1.46,259.7,0,195.7,10.86,33.92,13.29,47.12,76.43
38.94,0.52,1.31,158.72,0,207.38,18.23,32.57,20.78,33.29,91.97
36.33,0.52,1.38,189.56,0,253.31,74.12,88.61,12.18,52.97,66.05
37.78,0.54,1.78,149.04,0,319.86,43.21,58.41,13.65,43.57,110.29
35,0.51,2.23,211.9,0,230.05,2.84,12.04,10.71,18.27,50.25
35.64,0.53,1.57,209.72,0,188.89,4.87,19.28,13.2,28.79,47.91
36.32,0.53,1.74,82.62,0,197.16,7.45,20.78,10.74,27.65,46.18
36.57,0.53,1.88,128.49,0,276.24,12.33,28.04,14.62,33.83,72.49
32.39,0.52,2.55,81.65,0,162.94,1.44,9.31,8.38,15.29,33.64
31.29,0.51,2.48,58.77,0,151.78,2.33,12.7,9.59,20.31,33.25
26.75,32.1,2.31,127.58,0.34,61.8,12.35,21.44,6.49,21.38,21.99
30.66,19.83,1.66,170.13,0,225.24,9.47,22.29,13.87,27.4,73.56
32.08,3.33,1.63,238.36,0,151.54,6.62,18.83,10.4,25.24,46.02
