PM 2.5,Predicted Value
42.96,50.9913
90.84,101.90929999999999
181.71,124.27980000000001
289.54,262.4643
27.98,28.703399999999974
164.23,125.32350000000001
21.26,22.281899999999993
257.93,249.8673
250.78,252.2203999999999
42.61,58.58019999999997
101.84,131.30730000000005
44.06,46.36690000000003
38.33,61.07480000000003
68.69,65.94909999999999
157.82,220.07130000000012
58.03,65.33889999999995
120.95,119.59259999999999
48.39,48.128
52.43,38.5349
36.68,39.66189999999999
58.21,63.683099999999996
225.79,222.03999999999996
107.89,157.77290000000002
46.07,48.56119999999997
380.85,338.4377000000002
113.87,105.96080000000002
22.71,29.05849999999999
63.67,95.81709999999993
78.48,72.0919
89.52,95.3911
102.17,99.39779999999999
184.14,160.89320000000004
78.88,72.06899999999999
61.47,79.96010000000004
104.86,124.15679999999999
25.71,38.05219999999999
55.94,76.13979999999994
52.63,44.04679999999999
106.99,142.48849999999996
253.73,274.5893000000002
28.55,43.05179999999998
261.0,233.89620000000014
